Potential/V, Current/A
3.718,3.23E-06
3.719,3.24E-06
3.72,3.26E-06
3.721,3.27E-06
3.722,3.26E-06
3.723,3.26E-06
3.724,3.27E-06
3.725,3.30E-06
3.726,3.30E-06
3.727,3.31E-06
3.728,3.32E-06
3.729,3.33E-06
3.73,3.35E-06
3.731,3.36E-06
3.732,3.36E-06
3.733,3.39E-06
3.734,3.40E-06
3.735,3.40E-06
3.736,3.43E-06
3.737,3.43E-06
3.738,3.42E-06
3.739,3.43E-06
3.74,3.48E-06
3.741,3.49E-06
3.742,3.50E-06
3.743,3.53E-06
3.744,3.53E-06
3.745,3.55E-06
3.746,3.59E-06
3.747,3.58E-06
3.748,3.60E-06
3.749,3.61E-06
3.75,3.61E-06
3.751,3.63E-06
3.752,3.65E-06
3.753,3.68E-06
3.754,3.69E-06
3.755,3.71E-06
3.756,3.72E-06
3.757,3.74E-06
3.758,3.75E-06
3.759,3.78E-06
3.76,3.80E-06
3.761,3.81E-06
3.762,3.85E-06
3.763,3.85E-06
3.764,3.89E-06
3.765,3.93E-06
3.766,3.96E-06
3.767,3.98E-06
3.768,4.02E-06
3.769,4.01E-06
3.77,4.06E-06
3.771,4.09E-06
3.772,4.11E-06
3.773,4.14E-06
3.774,4.16E-06
3.775,4.19E-06
3.776,4.21E-06
3.777,4.24E-06
3.778,4.29E-06
3.779,4.32E-06
3.78,4.34E-06
3.781,4.39E-06
3.782,4.40E-06
3.783,4.43E-06
3.784,4.46E-06
3.785,4.51E-06
3.786,4.53E-06
3.787,4.54E-06
3.788,4.60E-06
3.789,4.63E-06
3.79,4.66E-06
3.791,4.68E-06
3.792,4.71E-06
3.793,4.75E-06
3.794,4.79E-06
3.795,4.83E-06
3.796,4.86E-06
3.797,4.90E-06
3.798,4.92E-06
3.799,4.96E-06
3.8,4.99E-06
3.801,5.05E-06
3.802,5.10E-06
3.803,5.12E-06
3.804,5.15E-06
3.805,5.20E-06
3.806,5.24E-06
3.807,5.26E-06
3.808,5.32E-06
3.809,5.36E-06
3.81,5.40E-06
3.811,5.44E-06
3.812,5.46E-06
3.813,5.52E-06
3.814,5.56E-06
3.815,5.59E-06
3.816,5.65E-06
3.817,5.68E-06
3.818,5.74E-06
3.819,5.75E-06
3.82,5.82E-06
3.821,5.88E-06
3.822,5.91E-06
3.823,5.95E-06
3.824,6.00E-06
3.825,6.03E-06
3.826,6.08E-06
3.827,6.14E-06
3.828,6.16E-06
3.829,6.20E-06
3.83,6.26E-06
3.831,6.30E-06
3.832,6.36E-06
3.833,6.39E-06
3.834,6.44E-06
3.835,6.50E-06
3.836,6.57E-06
3.837,6.60E-06
3.838,6.64E-06
3.839,6.70E-06
3.84,6.74E-06
3.841,6.82E-06
3.842,6.83E-06
3.843,6.89E-06
3.844,6.94E-06
3.845,7.02E-06
3.846,7.05E-06
3.847,7.11E-06
3.848,7.16E-06
3.849,7.23E-06
3.85,7.28E-06
3.851,7.33E-06
3.852,7.38E-06
3.853,7.45E-06
3.854,7.49E-06
3.855,7.55E-06
3.856,7.60E-06
3.857,7.67E-06
3.858,7.74E-06
3.859,7.78E-06
3.86,7.84E-06
3.861,7.90E-06
3.862,7.97E-06
3.863,8.03E-06
3.864,8.10E-06
3.865,8.15E-06
3.866,8.22E-06
3.867,8.27E-06
3.868,8.33E-06
3.869,8.38E-06
3.87,8.45E-06
3.871,8.52E-06
3.872,8.61E-06
3.873,8.66E-06
3.874,8.71E-06
3.875,8.79E-06
3.876,8.85E-06
3.877,8.93E-06
3.878,9.00E-06
3.879,9.04E-06
3.88,9.13E-06
3.881,9.21E-06
3.882,9.26E-06
3.883,9.34E-06
3.884,9.40E-06
3.885,9.47E-06
3.886,9.53E-06
3.887,9.62E-06
3.888,9.68E-06
3.889,9.75E-06
3.89,9.84E-06
3.891,9.90E-06
3.892,9.95E-06
3.893,1.01E-05
3.894,1.01E-05
3.895,1.02E-05
3.896,1.03E-05
3.897,1.03E-05
3.898,1.04E-05
3.899,1.05E-05
3.9,1.06E-05
3.901,1.07E-05
3.902,1.07E-05
3.903,1.08E-05
3.904,1.09E-05
3.905,1.10E-05
3.906,1.10E-05
3.907,1.11E-05
3.908,1.12E-05
3.909,1.13E-05
3.91,1.14E-05
3.911,1.14E-05
3.912,1.15E-05
3.913,1.16E-05
3.914,1.17E-05
3.915,1.18E-05
3.916,1.18E-05
3.917,1.19E-05
3.918,1.20E-05
3.919,1.21E-05
3.92,1.22E-05
3.921,1.22E-05
3.922,1.23E-05
3.923,1.24E-05
3.924,1.25E-05
3.925,1.26E-05
3.926,1.26E-05
3.927,1.27E-05
3.928,1.28E-05
3.929,1.29E-05
3.93,1.29E-05
3.931,1.31E-05
3.932,1.31E-05
3.933,1.32E-05
3.934,1.33E-05
3.935,1.34E-05
3.936,1.35E-05
3.937,1.35E-05
3.938,1.36E-05
3.939,1.37E-05
3.94,1.38E-05
3.941,1.39E-05
3.942,1.40E-05
3.943,1.41E-05
3.944,1.42E-05
3.945,1.43E-05
3.946,1.43E-05
3.947,1.44E-05
3.948,1.45E-05
3.949,1.46E-05
3.95,1.47E-05
3.951,1.47E-05
3.952,1.48E-05
3.953,1.49E-05
3.954,1.50E-05
3.955,1.50E-05
3.956,1.51E-05
3.957,1.52E-05
3.958,1.53E-05
3.959,1.54E-05
3.96,1.55E-05
3.961,1.55E-05
3.962,1.56E-05
3.963,1.57E-05
3.964,1.57E-05
3.965,1.58E-05
3.966,1.59E-05
3.967,1.60E-05
3.968,1.61E-05
3.969,1.62E-05
3.97,1.62E-05
3.971,1.63E-05
3.972,1.63E-05
3.973,1.64E-05
3.974,1.65E-05
3.975,1.66E-05
3.976,1.67E-05
3.977,1.67E-05
3.978,1.68E-05
3.979,1.69E-05
